ID;Kód;Název;Popis;Cena;Původní_cena;Úspora;Obrázek;Kategorie;Doporučené;Označení;Přehled_produktu;Hlavní_přínosy;Ingredience;Více_informací;Návod_k_použití;Videa;Dokumenty_a_certifikáty;
1;BT001;BalanceTest;Vaše osobní cesta za životní pohodu začíná zde.;1800;3325;1400;images/prod1.png;health-tests;ANO;Populární;Komplexní analýza omega-3 mastných kyselin v krvi pro personalizované doporučení výživy.;• Přesné měření poměru omega-6/omega-3 v krvi\n• Personalizované doporučení dávkování\n• Odborná analýza výsledků\n• Dlouhodobé sledování pokroku;Suchá krev z prstu;Test se provádí v certifikované laboratoři v Norsku s použitím nejmodernějších analytických metod.;1. Odeberete kapku krvi z prstu\n2. Nechte vyschnout na testovací kartě\n3. Odešlete do laboratoře\n4. Výsledky obdržíte do 10 dnů;https://example.com/balance-test-video;• Certifikace ISO 15189\n• GMP certifikát\n• Klinické studie;
2;BT002;BalanceTest x2;Vaše osobní cesta za životní pohodu začíná zde.;3500;4625;4825;images/prod2.png;health-tests;ANO;Výhodný balíček;Dva komplexní testy omega-3 mastných kyselin pro dlouhodobé sledování a monitoring pokroku.;• Dva testy pro sledování pokroku\n• Výrazná úspora oproti jednotlivému nákupu\n• Komplexní analýza omega poměru\n• Doporučení pro optimální výživu;Suchá krev z prstu (2x testovací karta);Balení obsahuje dva kompletní testy pro sledování pokroku během 3-4 měsíců suplementace.;1. Proveďte první test před začátkem suplementace\n2. Použijte druhý test po 3-4 měsících\n3. Porovnejte výsledky a sledujte pokrok;https://example.com/balance-test-progress-video;• Certifikace ISO 15189\n• GMP certifikát\n• Klinické studie důkazů \u00fačinnosti;
3;VD001;Vitamin D Test;Samotest pro analýzu množství vitaminu D v krvi;1200;1300;550;images/prod3.png;health-tests;ANO;;Rychlý a přesný domací test pro stanovení hladiny vitaminu D v krvi.;• Přesné měření hladiny 25(OH)D3\n• Rychlé výsledky do 15 minut\n• Žádné návštěvy lékaře\n• Snadné použití doma;Kapka krve z prstu, testovací proužek;Vitamin D je klíčový pro zdraví kostí, imunitní systém a celkové zdraví. Nedostatek je velmi častý, zejména v zimních měsících.;1. Omyjte si ruce\n2. Propíchněte prst lancetou\n3. Přiložte kapku krvi na testovací proužek\n4. Čekejte 15 minut na výsledek;https://example.com/vitamin-d-test-video;• CE označení\n• Klinicky testováno\n• Přesnost 95%;
4;HB001;HbA1c Test;Dlouhodobý test hladiny krevního cukru a...;1200;1300;550;images/prod4.png;health-tests;ANO;;Domací test pro sledování dlouhodobé hladiny glukosy v krvi (HbA1c) za poslední 2-3 měsíce.;• Sledování dlouhodobé hladiny cukru\n• Včasné odhalení rizika diabetu\n• Kontrola účinnosti diet\n• Snadné použití doma;Kapka krve z prstu;HbA1c je zásadní ukazatel pro diagnostiku a sledování diabetu. Ukazuje průměrnou hladinu glukosy za poslední 2-3 měsíce.;1. Omyjte si ruce\n2. Odeberete kapku krvi\n3. Aplikujte na testovací proužek\n4. Výsledky do 10 minut;https://example.com/hba1c-test-video;• CE označení\n• Schváleno pro domací použití\n• Klinická přesnost;
5;BO300;BalanceOil+ 300ml;Prémiový omega-3 olej s olivovým olejem a vitaminem D3;879;;;images/300000.png;omega;NE;Bestseller;Prémiový omega-3 olej kombinovaný s přírodním olivovým olejem a vitaminem D3.;• Optimalizuje omega-6:3 poměr\n• Posiluje imunitní systém\n• Podporuje zdraví srdce a mozku\n• Přírodní antioxidanty;Rybí olej (sarčovec, ančovička), extra panendrý olivový olej, přírodní aroma, vitamin D3;Vyroben z divokých ryb z čistých vod. Molekulárně destilovaný pro nejvyšší čistotu.;Dospělí: 0,15 ml na kg tělesné hmotnosti denně. Konzumujte s jídlem.;https://example.com/balanceoil-video;• 3. strana testováno\n• Bez těžkých kovů\n• IFOS 5-hvězdičkové hodnocení;
7;BO600;BalanceOil+ 6x100ml;Balíček 6 kusů BalanceOil+ 100ml pro dlouhodobé užívání;3375;3750;375;images/300430.png;omega;NE;Výhodný balíček;Výhodný balíček šesti 100ml lahviček BalanceOil+ pro dlouhodobé užívání.;• Významná úspora oproti jednotlivému nákupu\n• Zásoba na 6 měsíců\n• Ideální pro rodiny\n• Dlouhá trvanlivost;Rybí olej (sarčovec, ančovička), extra panendrý olivový olej, přírodní aroma, vitamin D3;Nejvýhodnější varianta pro dlouhodobé užívání. Vyšetříte až 20% oproti jednotlivému nákupu.;Dospělí: 0,15 ml na kg tělesné hmotnosti denně. Konzumujte s jídlem.;https://example.com/balanceoil-6pack-video;• 3. strana testováno\n• Bez těžkých kovů\n• IFOS 5-hvězdičkové hodnocení;
8;300,00 BOP;BalanceOil+ Premium 300ml;Prémiová verze s vylepšenou formulí;879;1650;;images/700000.png;omega;NE;;Prémiová verze BalanceOil+ s vylepšenou formulí a vyšší koncentrací účinných látek.;• Vyšší koncentrace omega-3\n• Rozšířený komplex antioxidantů\n• Vylepšená chuť\n• Rychlejší výsledky;Koncentrovaný rybí olej, extra panendrý olivový olej, přírodní aroma, vitamin D3, vitamin E;Premium verze s vyšší koncentrací omega-3 kyselin a rozšířeným komplexem antioxidantů.;Dospělí: 0,1 ml na kg tělesné hmotnosti denně. Konzumujte s jídlem.;https://example.com/balanceoil-premium-video;• 3. strana testováno\n• Bez těžkých kovů\n• IFOS 5-hvězdičkové hodnocení;
9;BOA300;BalanceOil+ AquaX 300ml;Vodní emulze pro snadnější vstřebávání;1950;;;images/300481.png;omega;NE;;Inovativní vodní emulze omega-3 pro lepší vstřebávání a chuť.;• Až 3x lepší vstřebávání\n• Příjemná chuť\n• Bez rybí příchuti\n• Vhodné pro děti;Emulgovaný rybí olej, čistá voda, přírodní emulgátory, vitamin D3;Revoluční technologie AquaX umožňuje lepší vstřebávání omega-3 kyselin.;Čtřásejte před použitím. Dospělí: 15 ml denně. Můžete míchat s nápojem.;https://example.com/balanceoil-aquax-video;• Patentovaná technologie\n• Klinicky testováno\n• 3. strana testováno;
10;300,00 BOV;BalanceOil+ Vegan 300ml;Veganská alternativa s mořskými řasami;2125;;;images/300520.png;omega;NE;Veganská verze BalanceOil+ s mořskými řasami pro ty, kteří preferují rostlinné zdroje.;• Veganská alternativa\n• Mořské řasy jako zdroj omega-3\n• Bez rybího oleje\n• Vhodné pro vegetariány a vegany;Mořské řasy, extra panenský olivový olej, přírodní aroma, vitamin D3;Vyroben z mořských řas, bohatých na omega-3 kyseliny. Ideální pro ty, kteří preferují rostlinné zdroje.;Dospělí: 0,15 ml na kg tělesné hmotnosti denně. Konzumujte s jídlem.;https://example.com/balanceoil-vegan-video;• 3. strana testováno\n• Bez těžkých kovů\n• IFOS 5-hvězdičkové hodnocení;;
11;BOT300;BalanceOil Tutti Frutti 300ml;S ovocnou chutí pro celou rodinu;1625;;;images/300600.png;omega;NE;Verze BalanceOil+ s ovocnou chutí pro celou rodinu.;• Ovocná chuť\n• Vhodné pro děti\n• Stejná kvalita jako původní verze\n• Příjemná chuť;Rybí olej (sarčovec, ančovička), extra panendrý olivový olej, přírodní aroma, vitamin D3, ovocné aroma;Verze s ovocnou chutí pro celou rodinu. Stejná kvalita jako původní verze.;Dospělí: 0,15 ml na kg tělesné hmotnosti denně. Konzumujte s jídlem.;https://example.com/balanceoil-tutti-frutti-video;• 3. strana testováno\n• Bez těžkých kovů\n• IFOS 5-hvězdičkové hodnocení;;
12;ES060;Essenz+ Premium 60 softgels;Omega-3 v praktických měkkých kapslích;1125;;;images/300700.png;omega;NE;;Omega-3 v praktických měkkých kapslích pro snadnou konzumaci.;• Snadná konzumace\n• Bez rybí příchuti\n• Praktické pro cestování\n• Přesné dávkování;Omega-3 rybí olej, želatinová kapsle;Ideální pro ty, kteří preferují kapsle před kapalným olejem.;2 kapsle denně s jídlem.;https://example.com/essenz-video;• GMP certifikát\n• Testováno na čistotu;Doporučené dávkování: 2 kapsle denně. Počet kapslí v balení: 60. Trvanlivost: 2 roky od data výroby.
13;RO250;R.E.V.O.O Olive Oil 250ml;Extra panendrý olivový olej s polyfenoly;875;;;images/300800.png;omega;NE;;Extra panendrý olivový olej s vysokou koncentrací polyfenolů.;• Vysoký obsah polyfenolů\n• Studenně lisovaný\n• Antioxidační účinek\n• Přírodní chuť;100% extra panendrý olivový olej;Vyroben z vyšlechtilých oliv za studen lisovaných do 24 hodin po sběru.;Používejte jako přídavek do jídel nebo přímo.;https://example.com/olive-oil-video;• Bio certifikát\n• Analýza polyfenolů;Doporučené dávkování: 1-2 čajové lžičky denně. Objem balení: 250ml. Trvanlivost: 2 roky od data výroby.
